speaker_id,condition,trial,vowel_duration_ms
S01,voiced,1,126.5
S01,voiced,2,123.7
S01,voiced,3,127.7
S01,voiced,4,143.4
S01,voiced,5,130.1
S01,voiced,6,142.6
S01,voiced,7,127.9
S01,voiced,8,126.7
S01,voiced,9,123.2
S01,voiced,10,125.0
S01,voiced,11,133.8
S01,voiced,12,124.6
S01,voiced,13,152.3
S01,voiced,14,123.9
S01,voiced,15,138.5
S01,voiceless,1,101.7
S01,voiceless,2,88.4
S01,voiceless,3,104.5
S01,voiceless,4,104.2
S01,voiceless,5,95.5
S01,voiceless,6,89.0
S01,voiceless,7,110.8
S01,voiceless,8,99.2
S01,voiceless,9,106.0
S01,voiceless,10,102.8
S01,voiceless,11,89.9
S01,voiceless,12,97.3
S01,voiceless,13,88.9
S01,voiceless,14,107.4
S01,voiceless,15,94.3
S02,voiced,1,191.4
S02,voiced,2,187.5
S02,voiced,3,202.6
S02,voiced,4,196.2
S02,voiced,5,181.3
S02,voiced,6,183.9
S02,voiced,7,192.9
S02,voiced,8,210.1
S02,voiced,9,208.2
S02,voiced,10,195.0
S02,voiced,11,194.0
S02,voiced,12,215.2
S02,voiced,13,207.0
S02,voiced,14,198.5
S02,voiced,15,189.9
S02,voiceless,1,161.9
S02,voiceless,2,173.3
S02,voiceless,3,188.3
S02,voiceless,4,165.8
S02,voiceless,5,159.2
S02,voiceless,6,165.1
S02,voiceless,7,170.2
S02,voiceless,8,158.6
S02,voiceless,9,162.4
S02,voiceless,10,163.8
S02,voiceless,11,148.7
S02,voiceless,12,163.5
S02,voiceless,13,157.1
S02,voiceless,14,182.9
S02,voiceless,15,166.9
S03,voiced,1,194.5
S03,voiced,2,175.2
S03,voiced,3,179.3
S03,voiced,4,166.5
S03,voiced,5,181.4
S03,voiced,6,179.7
S03,voiced,7,171.6
S03,voiced,8,161.7
S03,voiced,9,181.6
S03,voiced,10,181.1
S03,voiced,11,178.9
S03,voiced,12,183.5
S03,voiced,13,159.9
S03,voiced,14,171.3
S03,voiced,15,162.6
S03,voiceless,1,141.4
S03,voiceless,2,150.4
S03,voiceless,3,176.8
S03,voiceless,4,171.0
S03,voiceless,5,135.2
S03,voiceless,6,131.4
S03,voiceless,7,123.8
S03,voiceless,8,130.0
S03,voiceless,9,151.2
S03,voiceless,10,126.2
S03,voiceless,11,143.6
S03,voiceless,12,125.9
S03,voiceless,13,125.4
S03,voiceless,14,156.3
S03,voiceless,15,146.1
S04,voiced,1,152.6
S04,voiced,2,177.1
S04,voiced,3,198.3
S04,voiced,4,162.1
S04,voiced,5,160.6
S04,voiced,6,184.8
S04,voiced,7,187.3
S04,voiced,8,175.5
S04,voiced,9,172.1
S04,voiced,10,194.0
S04,voiced,11,169.9
S04,voiced,12,177.6
S04,voiced,13,167.6
S04,voiced,14,176.2
S04,voiced,15,198.5
S04,voiceless,1,143.8
S04,voiceless,2,145.3
S04,voiceless,3,135.8
S04,voiceless,4,136.1
S04,voiceless,5,155.9
S04,voiceless,6,146.7
S04,voiceless,7,150.7
S04,voiceless,8,138.1
S04,voiceless,9,157.0
S04,voiceless,10,142.0
S04,voiceless,11,145.0
S04,voiceless,12,146.0
S04,voiceless,13,144.7
S04,voiceless,14,143.4
S04,voiceless,15,135.9
S05,voiced,1,153.5
S05,voiced,2,151.3
S05,voiced,3,150.3
S05,voiced,4,157.1
S05,voiced,5,152.2
S05,voiced,6,132.1
S05,voiced,7,146.1
S05,voiced,8,152.9
S05,voiced,9,161.4
S05,voiced,10,134.1
S05,voiced,11,138.6
S05,voiced,12,121.0
S05,voiced,13,139.9
S05,voiced,14,152.8
S05,voiced,15,158.3
S05,voiceless,1,90.9
S05,voiceless,2,101.8
S05,voiceless,3,105.1
S05,voiceless,4,86.6
S05,voiceless,5,122.5
S05,voiceless,6,133.8
S05,voiceless,7,95.0
S05,voiceless,8,117.1
S05,voiceless,9,110.1
S05,voiceless,10,132.2
S05,voiceless,11,104.4
S05,voiceless,12,112.6
S05,voiceless,13,102.1
S05,voiceless,14,116.5
S05,voiceless,15,106.5
S06,voiced,1,169.3
S06,voiced,2,156.4
S06,voiced,3,136.1
S06,voiced,4,134.7
S06,voiced,5,159.7
S06,voiced,6,149.7
S06,voiced,7,164.2
S06,voiced,8,156.9
S06,voiced,9,155.7
S06,voiced,10,141.5
S06,voiced,11,167.7
S06,voiced,12,147.4
S06,voiced,13,159.9
S06,voiced,14,153.0
S06,voiced,15,148.0
S06,voiceless,1,98.9
S06,voiceless,2,114.9
S06,voiceless,3,112.6
S06,voiceless,4,139.7
S06,voiceless,5,126.2
S06,voiceless,6,121.2
S06,voiceless,7,128.7
S06,voiceless,8,145.6
S06,voiceless,9,108.6
S06,voiceless,10,107.1
S06,voiceless,11,108.2
S06,voiceless,12,134.2
S06,voiceless,13,106.5
S06,voiceless,14,120.2
S06,voiceless,15,110.5
S07,voiced,1,163.1
S07,voiced,2,153.6
S07,voiced,3,169.8
S07,voiced,4,157.7
S07,voiced,5,156.8
S07,voiced,6,140.9
S07,voiced,7,140.5
S07,voiced,8,134.6
S07,voiced,9,157.2
S07,voiced,10,146.5
S07,voiced,11,137.5
S07,voiced,12,150.8
S07,voiced,13,145.6
S07,voiced,14,167.7
S07,voiced,15,141.4
S07,voiceless,1,106.2
S07,voiceless,2,94.9
S07,voiceless,3,102.1
S07,voiceless,4,103.9
S07,voiceless,5,122.1
S07,voiceless,6,115.3
S07,voiceless,7,111.7
S07,voiceless,8,112.2
S07,voiceless,9,112.1
S07,voiceless,10,102.5
S07,voiceless,11,107.0
S07,voiceless,12,114.2
S07,voiceless,13,105.1
S07,voiceless,14,126.6
S07,voiceless,15,100.3
S08,voiced,1,156.4
S08,voiced,2,176.5
S08,voiced,3,182.2
S08,voiced,4,160.3
S08,voiced,5,145.3
S08,voiced,6,158.4
S08,voiced,7,159.4
S08,voiced,8,162.8
S08,voiced,9,160.0
S08,voiced,10,169.6
S08,voiced,11,165.8
S08,voiced,12,180.2
S08,voiced,13,171.7
S08,voiced,14,172.2
S08,voiced,15,159.5
S08,voiceless,1,134.3
S08,voiceless,2,109.6
S08,voiceless,3,150.0
S08,voiceless,4,128.6
S08,voiceless,5,133.4
S08,voiceless,6,144.3
S08,voiceless,7,111.5
S08,voiceless,8,123.9
S08,voiceless,9,134.2
S08,voiceless,10,124.1
S08,voiceless,11,121.9
S08,voiceless,12,136.0
S08,voiceless,13,137.4
S08,voiceless,14,144.4
S08,voiceless,15,117.4
S09,voiced,1,152.6
S09,voiced,2,152.8
S09,voiced,3,162.7
S09,voiced,4,149.4
S09,voiced,5,168.3
S09,voiced,6,161.1
S09,voiced,7,151.2
S09,voiced,8,151.2
S09,voiced,9,167.5
S09,voiced,10,157.3
S09,voiced,11,161.9
S09,voiced,12,158.1
S09,voiced,13,151.5
S09,voiced,14,159.1
S09,voiced,15,140.2
S09,voiceless,1,142.1
S09,voiceless,2,140.7
S09,voiceless,3,123.9
S09,voiceless,4,121.5
S09,voiceless,5,120.8
S09,voiceless,6,107.0
S09,voiceless,7,123.7
S09,voiceless,8,132.3
S09,voiceless,9,130.5
S09,voiceless,10,120.7
S09,voiceless,11,123.9
S09,voiceless,12,124.7
S09,voiceless,13,126.3
S09,voiceless,14,124.6
S09,voiceless,15,132.2
S10,voiced,1,168.6
S10,voiced,2,172.3
S10,voiced,3,173.2
S10,voiced,4,158.7
S10,voiced,5,170.7
S10,voiced,6,179.4
S10,voiced,7,166.4
S10,voiced,8,172.6
S10,voiced,9,159.1
S10,voiced,10,167.8
S10,voiced,11,173.4
S10,voiced,12,174.9
S10,voiced,13,153.7
S10,voiced,14,175.4
S10,voiced,15,176.4
S10,voiceless,1,138.7
S10,voiceless,2,132.7
S10,voiceless,3,121.8
S10,voiceless,4,127.9
S10,voiceless,5,135.5
S10,voiceless,6,131.6
S10,voiceless,7,156.9
S10,voiceless,8,119.6
S10,voiceless,9,116.0
S10,voiceless,10,134.7
S10,voiceless,11,145.3
S10,voiceless,12,132.4
S10,voiceless,13,157.6
S10,voiceless,14,116.4
S10,voiceless,15,138.6
S11,voiced,1,167.1
S11,voiced,2,156.4
S11,voiced,3,174.6
S11,voiced,4,175.5
S11,voiced,5,171.2
S11,voiced,6,161.5
S11,voiced,7,156.9
S11,voiced,8,157.9
S11,voiced,9,159.9
S11,voiced,10,153.1
S11,voiced,11,160.6
S11,voiced,12,157.6
S11,voiced,13,158.7
S11,voiced,14,165.0
S11,voiced,15,153.7
S11,voiceless,1,156.8
S11,voiceless,2,128.1
S11,voiceless,3,110.0
S11,voiceless,4,107.1
S11,voiceless,5,140.4
S11,voiceless,6,138.8
S11,voiceless,7,115.3
S11,voiceless,8,132.8
S11,voiceless,9,134.4
S11,voiceless,10,123.1
S11,voiceless,11,150.0
S11,voiceless,12,131.7
S11,voiceless,13,112.5
S11,voiceless,14,126.2
S11,voiceless,15,114.1
S12,voiced,1,171.6
S12,voiced,2,169.7
S12,voiced,3,165.3
S12,voiced,4,149.4
S12,voiced,5,169.3
S12,voiced,6,168.4
S12,voiced,7,182.8
S12,voiced,8,154.8
S12,voiced,9,157.4
S12,voiced,10,161.5
S12,voiced,11,170.1
S12,voiced,12,183.3
S12,voiced,13,182.4
S12,voiced,14,157.4
S12,voiced,15,178.9
S12,voiceless,1,129.7
S12,voiceless,2,109.1
S12,voiceless,3,129.1
S12,voiceless,4,138.7
S12,voiceless,5,149.1
S12,voiceless,6,119.7
S12,voiceless,7,126.2
S12,voiceless,8,148.7
S12,voiceless,9,117.2
S12,voiceless,10,137.6
S12,voiceless,11,149.3
S12,voiceless,12,127.3
S12,voiceless,13,143.1
S12,voiceless,14,138.3
S12,voiceless,15,136.7
S13,voiced,1,148.1
S13,voiced,2,131.1
S13,voiced,3,145.6
S13,voiced,4,138.5
S13,voiced,5,114.1
S13,voiced,6,157.2
S13,voiced,7,139.9
S13,voiced,8,125.3
S13,voiced,9,151.7
S13,voiced,10,126.5
S13,voiced,11,163.6
S13,voiced,12,121.2
S13,voiced,13,131.7
S13,voiced,14,139.3
S13,voiced,15,155.5
S13,voiceless,1,111.5
S13,voiceless,2,107.7
S13,voiceless,3,115.3
S13,voiceless,4,104.1
S13,voiceless,5,102.0
S13,voiceless,6,110.3
S13,voiceless,7,94.3
S13,voiceless,8,107.9
S13,voiceless,9,99.5
S13,voiceless,10,100.9
S13,voiceless,11,104.3
S13,voiceless,12,113.5
S13,voiceless,13,111.3
S13,voiceless,14,108.1
S13,voiceless,15,117.9
S14,voiced,1,164.3
S14,voiced,2,158.3
S14,voiced,3,166.8
S14,voiced,4,169.9
S14,voiced,5,168.5
S14,voiced,6,146.5
S14,voiced,7,174.4
S14,voiced,8,162.2
S14,voiced,9,155.5
S14,voiced,10,153.9
S14,voiced,11,141.9
S14,voiced,12,147.6
S14,voiced,13,156.5
S14,voiced,14,174.2
S14,voiced,15,135.6
S14,voiceless,1,116.7
S14,voiceless,2,124.0
S14,voiceless,3,115.6
S14,voiceless,4,125.9
S14,voiceless,5,127.9
S14,voiceless,6,108.3
S14,voiceless,7,108.3
S14,voiceless,8,112.7
S14,voiceless,9,108.7
S14,voiceless,10,134.4
S14,voiceless,11,122.8
S14,voiceless,12,115.3
S14,voiceless,13,113.3
S14,voiceless,14,141.7
S14,voiceless,15,136.8
S15,voiced,1,156.0
S15,voiced,2,155.0
S15,voiced,3,140.2
S15,voiced,4,166.8
S15,voiced,5,135.6
S15,voiced,6,191.6
S15,voiced,7,137.8
S15,voiced,8,150.4
S15,voiced,9,169.3
S15,voiced,10,135.3
S15,voiced,11,168.7
S15,voiced,12,181.1
S15,voiced,13,152.8
S15,voiced,14,158.9
S15,voiced,15,138.3
S15,voiceless,1,123.8
S15,voiceless,2,121.9
S15,voiceless,3,128.2
S15,voiceless,4,121.9
S15,voiceless,5,97.3
S15,voiceless,6,113.8
S15,voiceless,7,118.5
S15,voiceless,8,109.1
S15,voiceless,9,136.7
S15,voiceless,10,115.1
S15,voiceless,11,118.3
S15,voiceless,12,106.5
S15,voiceless,13,108.0
S15,voiceless,14,110.8
S15,voiceless,15,119.9
S16,voiced,1,178.7
S16,voiced,2,212.0
S16,voiced,3,196.0
S16,voiced,4,177.0
S16,voiced,5,182.8
S16,voiced,6,203.2
S16,voiced,7,184.7
S16,voiced,8,176.5
S16,voiced,9,155.1
S16,voiced,10,180.8
S16,voiced,11,170.2
S16,voiced,12,174.0
S16,voiced,13,184.7
S16,voiced,14,199.4
S16,voiced,15,189.7
S16,voiceless,1,129.5
S16,voiceless,2,158.4
S16,voiceless,3,128.5
S16,voiceless,4,154.9
S16,voiceless,5,148.1
S16,voiceless,6,141.4
S16,voiceless,7,143.5
S16,voiceless,8,144.6
S16,voiceless,9,136.3
S16,voiceless,10,145.3
S16,voiceless,11,145.2
S16,voiceless,12,125.0
S16,voiceless,13,154.8
S16,voiceless,14,139.3
S16,voiceless,15,140.5
S17,voiced,1,160.6
S17,voiced,2,182.0
S17,voiced,3,134.1
S17,voiced,4,184.0
S17,voiced,5,144.4
S17,voiced,6,176.9
S17,voiced,7,178.9
S17,voiced,8,151.6
S17,voiced,9,168.6
S17,voiced,10,163.6
S17,voiced,11,168.9
S17,voiced,12,162.5
S17,voiced,13,154.7
S17,voiced,14,150.5
S17,voiced,15,167.8
S17,voiceless,1,149.0
S17,voiceless,2,111.4
S17,voiceless,3,120.3
S17,voiceless,4,138.3
S17,voiceless,5,129.3
S17,voiceless,6,118.0
S17,voiceless,7,118.3
S17,voiceless,8,135.1
S17,voiceless,9,135.9
S17,voiceless,10,129.2
S17,voiceless,11,123.4
S17,voiceless,12,128.7
S17,voiceless,13,141.6
S17,voiceless,14,108.4
S17,voiceless,15,110.2
S18,voiced,1,161.6
S18,voiced,2,162.0
S18,voiced,3,150.9
S18,voiced,4,159.1
S18,voiced,5,138.4
S18,voiced,6,152.6
S18,voiced,7,153.2
S18,voiced,8,174.1
S18,voiced,9,160.3
S18,voiced,10,144.7
S18,voiced,11,156.9
S18,voiced,12,155.0
S18,voiced,13,163.8
S18,voiced,14,167.2
S18,voiced,15,155.0
S18,voiceless,1,101.9
S18,voiceless,2,111.3
S18,voiceless,3,121.0
S18,voiceless,4,105.3
S18,voiceless,5,137.7
S18,voiceless,6,118.4
S18,voiceless,7,123.6
S18,voiceless,8,119.4
S18,voiceless,9,146.4
